Country,Females_Edu,Males_Edu
Australia,79,81
Austria,81,88
Belgium,76,74
Canada,92,89
Chile,65,65
Czech Republic,92,95
Denmark,82,79
Estonia,92,85
Finland,91,85
France,78,79
Germany,85,88
Greece,73,70
Hungary,82,85
Iceland,78,78
Ireland,83,77
Israel,88,86
Italy,62,58
Japan,94,94
Korea,84,90
Latvia,92,85
Luxembourg,78,80
Mexico,36,37
Netherlands,76,78
New Zealand,76,77
Norway,83,82
Poland,92,91
Portugal,50,43
Slovak Republic,91,93
Slovenia,86,89
Spain,61,56
Sweden,84,82
Switzerland,86,89
Turkey,34,43
United Kingdom,80,81
United States,91,89
